Китайский	Английский	Русский
斜撑 	 Rakker leg 	  Распорка  
断路器/隔离开关	Circuit breakers 	Разъединители
方位 	 Orientation 	  Направление  
方案 	 Scheme 	  Метод/вариант  
方案/方法 	 Method/Approach  	  Метод  
施工/建造 	 Construct 	  Строить  
施工方案 	 Method Statement  	  План  производство  работы  ППР
施工进度	Method of statement 	План  производства  работ  (ППР)
施工违规 	 SniP Construction violation 	  СниП  (нарушение  норм  строительства)
施工顺序/步骤 	 Construction sequence 	  Последовательность/шаги  строительства
无缝钢管 	 Seamless steel pipe 	  Бесшовная  труба  
日报 	 Daily report 	  Ежедневный  отчет  
日程/进度表 	 Schedule 	  График  
暂停施工 	 Suspension 	  Приостановка  строительства  
暂定/暂时 	 Temporary/provisional 	  Временный  
暖气片 	 Heating radiator 	  Радиатор  
暖通 	 HVAC 	  ОВ/отопление  и  вентиляция  
更换/替换 	 Replace  	  Заменить  
最大电压波动(瞬时的) 	Voltage fluctuation (transient), max 	Колебания напряжения (скачки напряжения), макс.
有/存在/到位 	 Available  	  В  наличии  
木材储存 	 Woodstore 	  Лесосклад
木板	shutters	опалубки  
木架 	Purlin roof 	Обрешетка/решеточная  крыша  
未决事宜 	 Pending issue 	  Нерешенный  вопрос  
未处理的水 	 Untreated water 	  Неочищенная  вода  
机械设备	Mechanical equipment	Механическое оборудование
机油 	 Engine oil 	  Двигательное  масло  
松散土 	 Loose soil 	  Сыпучий  грунт  (Рыхлый)
枕木 	 Sleeper 	  Шпалы  
架桥、高架 	 Trestle 	  Эстакада  
柱 	 Column 	  Колонна  
柱塞结构 	 Ram construction 	  Постройка  пандуса  
柱子	Column	Колонна
柴油 	 Diesel 	  Дизель  
柴油隔舱 	 Diesel Bay 	  Дизельный  отсек  ГСМ
标准操作规程 	 SOPs (Standard operating procedures) 	  Стандартные  рабочие  процедуры/  производственные  инструкции
标志牌 	 Sign 	  Знак  
标牌	Sign board 	Табличка,  Маркировочная  бирка  
标签、挂牌 	 Tag 	  Бирка  
标记 	 Mark 	  Отметка/маркировка  
树脂药卷 	 Resin cartridge 	  Смоляной  картридж
校准 	 Align/calibration   	  Калибровка  
格栅 	 Granting 	  Решетка  
桁架 	 Purlin 	  Каркас  обрешетина
桁架 / 屋架	Truss	Железный  бейфут,  Стропил,  каркас  из  балок  
桥式起重机 	 Bridge crane  	  Мостовой  кран  (in  warehouses)
桩 	 Pile 	  Свая  
梁 	 Beam 	  Балка  
梁式起重机	Winch on the beam 	Кран-балка  
检修盒 	Maintenance box	Коробка  техобслуживания
检查 	 Inspection  	  Инспекция  
棉被 	 Cotton quilt 	  Войлочное  одеяло  
棚 	 Shed  	  Навес  
棚布 	 Shed cloth 	  Навес  (тканевый)
楼梯 	 Stairs/stairway 	  Лестница  
概算	Cost estimation 	Смета
概述 	General description	Общее описание 
模板 	 Shutter 	  Опалубка  
模板加固/支护 	 Support of shutter 	  Опора  опалубки  
横的	Horizontal	Горизонтальный
橡胶鞋 	 Gum shoe 	  Резиновые  ботинки  
止浆垫 	 Grouting pad 	  Шламовая  заглушка/  Бетонная  подушка
止论块/防回滚 	 Wheel chock 	  Стопор/  противоскаты  
止车器 	 Car stopper 	  Стопор  
歧管	Manifold	Вентильный  блок/манифолд  
段/部分 	 Section 	  Пункт/секция  
毡靴 	 Felt shoe 	  Валенки  
气压表	Barometer (air pressure) 	Барометр
气瓶	Gas cylinder 	Газовый  баллон  
氯化钙 	 Calcium chloride 	  Хлорид  кальция  
水处理 	 Water treatment 	  Водоготовка  
水循环/回收 	 Water recycling 	  Циркуляция  воды  
水文/水利性质 	 Hydraulic properties 	  Гидрологический/гидравлические  характеристики  
水泥浆 	 Cement slurry  	  Цементный  раствор  
水玻璃 	 Sodium silicate/silica 	  Силикат  натрия  
水管道	Water Pipeline 	Водопровод
水罐 	 Water tank 	  Резервуар/емкость  
水胶/止水带 	 Water seal 	  Гидрогель/водозаборы
水车/拉水车 	 Water truck 	  Ассенизатор/водовоз
污水处理场 	 Water treatment plant 	  Водоочистная  станция  
污水处理设备 	 Sewage treatment facility 	  Оборудование  для  очистки  сточных  вод
汽油 	 Gasoline 	  Бензин
沉淀池	Settling pond/Settlers 	Отстойник
沉淀池 	 Sediment tank 	  Отстойник    
沙子 	 Sand 	  Песок  
没收 	 Confiscate 	  Конфискация  
沥青 	 Asphalt 	  Битум/асфальт  (черная  смола)
油毡	 Linoleum 	  Линолеум
油锯	Chainsaw	Бензопила
油风炮	Diesel heater 	Дизельная  пушка
泄露	Emission	Выбросы  
泄露	Spillage/leakage 	Утечка/выброс/разлив  
法兰连接 	 Flange joint 	  Фланцевый  сток  
泥浆	Slurry 	Жидкая  глина  
泥浆泵 	 Mud pump 	  Буровой  насос  
注浆泵 	 cementation pump 	Тампонажный  насос  
注浆高度 	 Cover height 	  Высота  цементации  
泵车 	 Concrete pump 	  Бетононасос
活口扳手	Adjustable spanner 	Разводной  ключ  
浆液配比 	 Cementation ratio 	  Пропорции  цементной  смеси  
浇筑 	Pouring （concrete)	заливка  (бетона)
测斜	 Survey 	  Инклинометрия  
测量 	 Survey/measure  	  Измерение/исследование  
浓缩机	Concentrator 	сгуститель/загуститель
浮标 	 Float  	  Поплывок  
涂刷 	 Paint 	  Краска  
涂层 	 Coating 	  Покрытие  
消除 	 Eliminate 	  Устранять/устранить  
润滑剂 	 Lubricant  	  Смазочная  жидкость  
液压起重器	Hydraulic jack 	Гидродомкрат
液压风镐	Hydraulic jackhammer  	Гидравлический  отбойный  молоток
混凝土	Concrete 	Бетон
混凝土搅拌机	Pan mixer 	Бетоносмеситель
混凝土搅拌装置	Wetcrete Plant 	БСУ  (бетоносместительные  установки)
混凝土板	Concrete slab 	Бетонная  плита  
混凝土矮墙 	 Bunk wall 	  Бетонные  невысокие  стены  
混凝土绕筑 	 Concrete casting 	  Бетонирование/Прием  бетона  
混凝土面抹平 	 Floating  	  Сглаживание  бетонных  поверхностей  
清单 	 list/checklist 	  Список/Чеклист  
清洗室 	 Wash bay 	  Камера  мойки  
清理/清淤 	 Muck out/Clean 	  Очистка  
渗水 	 Water seepage 	  Проницаемость  воды  
温度计 	 Thermometer 	  Термометр  
湿喷 	 Wetcrete 	  Мокрый  торкрет  
溜子	Chute	Жёлоб
溜滑 	 Slippery 	  Скользко
溶液	 Solution  	  хим.  Раствор  
滑倒 	 Slip and fall 	  опрокинуться  (упасть)  [поскользнувшись]
滑架	Crosshead	Ползун/Траверсы  
滑架信号系统 	 Crosshead signal system 	  Сигнальная  система  для  направляющей  рамы  бадьи  
滑模 	 Sliding shutter  	  скользящая  опалубка
滚筒	Drum/roller 	Барабан/каток  
漏油 	 Oil spillage 	  Утечка  масла  
潜孔钻机 	 DTH in-the-hole drill	  Погружная  бурильная  машина
潜水泵	Submersible pump 	Погружной  насос  
潜水泵 	 Submersible pimp 	  Насос  погружной  
炮眼崩矿法	Delay blasting 	Шпуровая  отбойка  
炸药 	 Explosive 	  Взрывчатка  
炸药加工集装箱	Explosives container 	Контейнер  взрывчатых  материалов  
点焊 	 spot welding 	  точечная  сварка  
烟雾探测器 	 Smoke detector  	  Датчик  дыма  
热处理和焊接检查 	 Heat Treatment and Weld Inspection 	Термическая обработка и контроль качества сварных швов
焊接	Welding 	Сварка
焊接 	 Weld 	  Сварить  
照明 	 Lighting 	  Освещение  
照明灯 	 Floodlight 	  Прожектор  
爆破 	 Blast 	  Буровзрывные  работы  
爬梯	ladder stand	стремянка
爬行梁	Crawl beam	Навесная  балка,  ползучая  
爬行速度 	Creep speed 	Скорость ползучести 
牵引	 Traction 	  Тяга/сцепление  
环境审查 	 Environmental Audits 	  Экологическая  проверка  
环形取样法 	 Ring sampler/ rotated sampling 	  Пробоотборник  кольца/поворотный  пробоотборник
环形沟 	 Circular drainage 	  Кольцеобразный  канал  
玻璃纤维 	 Fiberglass 	  Стекловолокно  
瑶台 	 Swing deck 	  Площадка  качающаяся  
生命线	Lifeline	Спасательная  верёвка
电事故	Electrocution 	Поражение  электрическим  током  
电伴热丝 	 Electric heat wires 	  Электрические  теплопроводы      
电加热棒 	 Electric Heating rods 	  Стержень  с  электроподогревом
电动机 	 Motor 	  Двигатель/мотор  
电压波动	Voltage fluctuations 	Колебания напряжения 
电机	Motor	Электродвигатель
电机冷却风机	Motor Ventilation Fan	Вентилятор двигателя
电机数据 	Motor Data	Данные о двигателе
电气盘柜 	 Electrician panel 	  Шкафы  электрических  панелей  
电流	Current 	Ток
电流强度	Amperage 	Сила  тока  
电线/供电线 	 Power line 	  Электропроводка  
电缆延长线	Electrical extension cord 	Кабель  –  удлинитель  
电缆桥架	Cable trays 	Кабельные  лотки  
电缆沟 	 Cable trench  	  Кабельная  траншея  
电缆盘	Cable reel 	Катушка  кабеля  
电路图	Electrical circuit diagram 	Электросхема
电铃	Bell	Колокольчик
电阻	Resistance 	Сопротивление  
疏水平巷	Drain drive 	Дренажный  штрек  
登记/注册 	 Register 	  Регистрация  
监理/监督 	 Technical supervision 	  Технический  надзор  
盘型制动器 	Disc brake 	Тормозной  диск  
直径 	 Diameter 	  Диаметр    
直流 	 DC direct current 	  Высокий  вольтаж
石棉 	 Asbestos 	  Асбест/горный  лён
石膏板 	 Plasterboard 	  Гипсовая  доска  
矸石	Waste	Порода
矿床	Ore body 	Залежи
矿泥 	 Sludge 	  Шлам  (отходы  при  разработке  горного  продукта)
矿泥沉淀池	Sludge pit 	Шламоотстойники
矿浆 	Pulp	Пульпа  
矿石溜井	Ore pass 	Рудоспуск
矿车载重 	Payload	Полезная грузоподъёмность 
砂浆 	 Mortar 	  Раствор  
砌筑/砌壁	 Concrete lining 	  Кладка/футеровка  
砖基 	 Brick base  	  Кирпичный  фундамент  
砖墙 	 Brick wall 	  Кирпичная  стена  
砖砌 	 Brick work  	  Кирпичная  кладка  
砾石	Gravel 	Крупный  песок  
硬化 	 Hardening 	  Отвердевание
硬度 	Hardness	Твердость
硬石 	 Hardrock 	  Скальник  
确定 	 Determine  	  Устанавливать/определять  
碎石/石子 	 Gravel/crash stone 	  Щебень  
碎石层 	 Gravel layer 	  Слой  щебня  
碰撞 	 Collision 	  Столкновение  
磨损 	 Wear 	  Износ  
磨片机	Grinding machine 	Шлифовальный  станок  
禁止使用	Not allow to use 	Запретить  в  использовании  
离合器 	 Clutch 	  Сцепление  
离合器操作顺序	Sequence of operation at un-clutching	Последовательность действий при размыкании сцепления
离合器机械安全阀	Clutch Movement Mechanical Safety Valve	Механический предохранительный клапан механизма сцепления 
离合控制系统 	Clutch Control System	Система управления муфтой
离心泵 	Centrifugal pumps 	Центробежные  насосы  
移交 	 Handover  	  Прием
移机	Move the drill	Переместить  буровую  машину
移除 	 Remove 	  Убрать  
空压机	Air compressor 	Воздушный  компрессор  
空气加热设备 	 Air Heating Plant 	  СОВ  (Система  обогрева  воздуха)
筒仓 	 Silo 	  Силовая  башня  (Башня  для  цемента)
筒壳和幅板 	Shell and hub plates 	Обечайки и пластины втулок 
简报 	 Briefing 	  Брифинг  
管绝缘	Cladding (isolation) 	Изоляция,  облицовка  (труб)  
管缝锚杆 	 Split sets 	  Трубчатый  фрикционный  анкер
管道	Pipeline 	Трубопровод
管道弯曲 	 Pipe bents 	  Поворот  трубы  
管道绳 	 Guide ropes 	  Направляющий/проводниковый  канат  
管道连接器 	 Pipe connectors 	  Муфта  
粘土 	 Clay 	  Глина  
系杆 	 Tie bar 	  Сцепной  брус  
紧固	Tightning	Закрепить  (напр.  болтами)  
紧急供气室	Refuge chamber 2nd 	КАВС-2    (камера  аварийного  воздухоснабжения)
纪律	Discipline	Дисциплина  
细化 	 Break down/ to elaborate 	  Детализация
绕混凝土 	 Concrete pouring 	  Бетонирование/Прием  бетона  
给排水设施	Water and drainage facilities	Сооружение водоснабжения и канализации
给水管/给料管 	 Feed pipe 	  Питающие  трубы/фидерные  трубы  
绞车/稳车 	 Winch 	  Лебедка  
绳子	Hemp rope 	Пеньковый  канат,  канат  
绿化 	 Landscaping 	  Озеленять/озеленение  
缆索夹 	 Clip for a cable  	  Зажим  для    троса  
缆线锚杆支护 	 Cable anchor support 	  Опора  для  кабельного  анкера  马头门眉上两排预支护
缠绳	Rope up 	Наматывание
缺陷 	Deviation 	Брак/неисправность/изъян  
罐托 	 Cage holder 	  Кулак  посадочный  
罐笼 	 Cage 	  Клеть  
罐笼+平衡锤	Cage/Countweight	Клеть/Противовес
罐道梁 	 Buntons 	  Рама/балка  проводника  
网片	Mesh	Сетный полотно
翻车 	 Overturn 	  перевернуться  (о  машине)
联轴节	Coupling	соединительная  муфта
聚乙烯莫 	 PE film/polyethylene 	  Полиэтиленовая  пленка
聚合物莫 	 Polymer film 	  Полимерная  пленка  
胶带输送机斜井	Conveyor decline 	Конвейерный  уклон  
脚手架 	 Scaffold 	  Эшафот  
脱落 	 Peeling 	  Отваливаться/отстать/осыпаться
膨胀联轴节	Adjustable coupling 	Расширительная  муфта  
自动化 	 Automation 	  Автоматизация  
自卸车	Dump truck	Самосвал
节流阀 	Throttle 	Ограничитель/дроссельный  клапан
花纹钢板	 Steel plate/Riffled plate	Рифленая листовая сталь
药泵	Dosing pump 	Дозатор
蒸汽管道	Steam pipes 	Паропровод
蓄水池 	 Reservoir 	  Резервуар  
薄板/片 	 Sheet 	  тонколистовой
螺丝刀	Screwdriver 	Отвёртка  
螺帽	Nut	Гайка  
螺栓 	 Bolt 	  Болт  
螺母扳手/扳手 	 Spanner/wrench 	  Гаечный  ключ
螺纹钢 	 Steel bar 	  Винтообразная  арматура  
裂缝 	 Crack 	  Трещина
装修装饰工程 	 Completion work 	  Благоустройство  主体完工后的修饰工作
装料斗	Hopper 	Бункер,  загрузочная  воронка  
装药 	 Charge 	  Заряд/заряжание  
装药和爆破	Charge up and Blasting 	Заряжать  и  взрывать  
装配 	 Assembly 	  Сборочная  работа  (мотаж)
要求 	 Require/request 	  Требовать/требование  
要求 	 Requirements 	  Требования  
观察员/指挥员 	 Spotter 	  Корректировщик/наблюдатель
规格	Specification 	Стандарт
规范 	 Specification 	  Образец/стандарт  
视频监控系统	Video surveillance system 	Система  видеонаблюдения  
角垫 	 Corner pad 	  Углавая  накладка  
角度 	 Angle 	  Угол  
角磨机	Angle grinder 	Болгарка
解决 	 Sort out/address 	  Решить  
警示灯 	 Warning lights 	  Предупредительные  огни
计算费用 	 Cost estimation 	  Смета  
设备安装 	 Equipping 	  Монтаж  оборудование  Eequipment  installation  
设备抗 	 Equipment pit 	  Приямок  для  оборудования  
设定	Settings	Настройка
设施 	 Facility 	  Инфраструктура  
设立/塔建 	 Establish 	  Установить  
设计规范	Design standards 	Нормы  проектирования  
试运行 	Pre-commissioning 	Предварительный  ввод  в  эксплуатацию  
详细 	 Detailed 	  Детальный  
调整爆破	Sliping/Correction blasting 	Корректирующие  взрывания/Выравнивание/Снятие  породы  
调绳离合器	Clutch	Муфта цепная
调试	Commissioning	Пуско-наладочные  испытания  
调试 	 Commission 	  Пусконаладочные  работы  
起动调试工作	Commissioning work 	ПНР  (Пуско-наладочные  работы)  
起皱/褶皱	 Wrinkle 	  Складка/образование  складки  
起重器	Jack 	Домкрат
起重机/吊车 	 Crane 	  Кран  
超载 	 Overload 	  Перегрузка  
跟进 	 Follow up 	  Следить  (за  работами)  
路缘石 	 Curb  	  Кребс  
路肩 	 shoulder 	  Плечи  дороги  
路障 	 Barricade 	  Завал  [на  дороге]
踢脚 	 Skirting/ Tow  	  Юбка  (ствола)
转环 	 Swivel 	  Верглег  (шарнир,  подвижное  соединение,  исключающее  передачу  вращения  с  одного  элемента  соединения  на  другой)
转矩扳手	Torque spanner/wrench 	Динамометрический  ключ  
轮毂 	Hubs	Втулки
软管 	 Hose 	  Шланг
轴心	Axis 	Ось
轴承 	 Bearing 	  Подшипник  
轴承梁	Bearing housing 	  Балка  подшипника
边墙/侧壁 	 Sidewalls 	(Защитная)  стена  
过卷	Over winding 	Перетяжка
过卷器 	 Limit switch (Crane) 	  Концевой  выключатель  (Кран)
过流保护设定	Overcurrent protection settings 	Настройка  защиты  от  сверхтоков  
运输 	 Transport 	  Перевозка/Транспортировка
进尺 	 Advance 	  Глубина  бурения  (проходки),  проходка  
进水管 	 Inlet pipe 	  Впускные  трубы  
进风通风室 	 Ventilation chamber  	  Приточное  вентиляционное  помещение
违反、违规 	 Violate  	  Нарушение  
连接 	 Attach/Connect 	  Соединение/соединить  将稳车与井架连接等
连接 	 Coupling  	  Стыковка  延长钻杆时需进行连接
连接件 	 Connecting pieces  	  Соединения
送风机 	 Blower  	  Воздувка
适配器 	 Adaptor 	  Адаптер
通讯 	 Communication 	  Связь  
通道和平台	Access and Platform	Проезды и площадки 
通风 	 Ventilation  	  Вентиляция  
通风栈道	Ventilation drive 	ВЗШ  (вентиляционный  закладочный  штрек)  
通风管	Ventillation pipe 	Вентиляционная  труба  
通风道	Ventilation duct 	Вентиляционный канал 
遵守/符合 	 Comply with  	  В  соответствии  
避雷等级	Lightning level 	Уровень  молниезащиты  
配件 	 Spares 	  Запчасти
配电箱 	 Distribution box 	  Распределительная  коробка  
采矿设备 	Mine equipment 	Горно  шахтное  оборудование  
重复工作/返工 	 Redo poorly done work	  Вернуть  для  доработки  (переделки)
重新提交 	 resubmit 	  Подать  повторно  (документы)
金属拱 	 Metal arch 	  Металическая  
钢丝绳	Steel wire 	Стальной  трос  
钢丝绳 	 Wire rope 	  Металл  канат
钢丝绳强度	Rope strenght 	Прочность  каната  
钢丝绳拉力控制装置	Rope tension control device 	Механизм  управления  натяжением  каната  
钢件 	 Steel 	  Металлическое  изделие  
钢板 	 Steel plate 	  Листовая  сталь  
钢梁 	 Steel beam 	  Стальная  балка  
钢筋 / 扎钢筋	 Reinforcement 	  Арматура  
钢筋加强/加固 	 Reinforcing 	  Армирование  
钢筋绑扎 	 Reinforcement binding 	  Вязка  арматуры  
钢筋网/金属网/支护网 	 Mesh 	  Сетка/яцейка
钢管道 	 Steel rail guide 	  Проводник  
钢管道 	Steel pipe	Стальной трубопровод
钢结构 	 Steel structure 	  Металлоконструкция  
钩环 	 Shackle (U-shaped link) 	  Хомут  (U-образное  звено)  
钳子 	 Pliers 	  Плоскогубцы
钻 	 Drill 	  Бурить/бурение  
钻个孔	Slot	Щель/отверстие  (сделать  отверстие)  
钻塔 	 Drilling tower 	  Буровая  вышка  
钻头	Drill bit/Diamond bit 	Буровая  коронка  
钻孔 	 Drilling hole 	  Скважина  
钻机 	 Drilling machine 	  Буровая  установка  
钻杆 	 Drill rod  	  Буровая  штанга/стержень    
铅锤	Plumbbob	Отвес
铜瓦 	Drum Bushes 	Втулка барабана
铲斗	Bucket (excavator, loader) 	Ковш  (экскаватор  погрузчик)
铲车 	 Bucket loader 	  Ковшовый  погрузчик  
铲车 	Front loader	Ковшовый  погрузчик
铲齿 	 Bucket teeth 	  Зуб  ковша  (строительного)
铺设电缆 	 Cable rack  	  Кабельный  желоб/лоток  
铺路 	 Pave 	  Проложить  дорогу/тротуар  
链条葫芦	Chain block 	Цепная  таль  
锚杆 	 Anchor 	  Анкер  
锚索 	 anchor rope/cable bolt 	  Канатный  анкер  
锚网支护	Drilling support 	  Анкерная  крепь  
镀锌管	Galvanized (silver paint) 	Оцинкованная  (труба)  
长孔钻机	Solo, Sandvik (longhole drill rig) 	Буровая  установка  (для  глубоких  скважин)  
闸盘 	Brake disc(s) 	Тормозной(ые) диск(и) 
阀/高压闸阀 	 Valve/ high pressure gate valve  	  Кран/Вентиль/клапан/задвижка
阀门	Valve	Клапан
阀门连接器 	 Valve connector	  муфта  соединение  с  ручкой  крана  (муфта  с  резьбой  для  крана)  
防冻液 	 Antifreeze solution 	  Антифриз  
防坠器 	 Parachute 	  Шахтный  парашют/ограничитель  
防晒材料 	 Anti-shine material 	  Материалы  для  защиты  от  солнца  
防水布	Tarpaulin (waterproof material) 	Брезент  (Грубая  плотная  непромокаемая  ткань)  
防滑链 	 Chain 	  Противоскользящие  цепи
防潮措施 	 Water burst prevention measures 	  Влагозащитный  меры  
防雷 	 Lightning protection 	  Молниезащита  
防静电 	 Anti-static 	  Антистатический  
附件套件	Accessory Set	Комплектующие части и принадлежности
附属 	 Auxiliary 	  Вспомогательный  
附约	Supplementary Agreement 	Дополнительное  соглашение  
限位套 	Distance Piece	Дистанционная распорка 
除锈防腐 	 Rust and corrosion protection 	  Удаление  ржавчины  и  защиты  от  коррозии  
随车吊 	 Truck lift/truck mounted crane 	  Манипулятор  
隐蔽工程	Hidden works 	Скрытые  работы  
隔板/风布 	 Brattice 	  Переборка  [дощатая]
隔气膜 	 Waterproof 	  Водонепроницаемый
隔水层 	 Confined bed 	  Водоупорный  слой
集水抗 	 Sump 	  Зумпфовая  насосная  
集水池	Sump 	Водосборник
集水池转运泵	Dewatering dam 	Водосборник  перекачной  станции  
雇用 	 Sign on 	  Принять  на  работу  
雨布/防水布 	 Rain cloth 	  Дождевая  ткань/брезент
雪铲 	 Snow blade 	  Лопата  для  уборки  снега
震动等级	Vibration level 	Уровень  вибрации  
露天采矿场 	Open pit 	Карьер
靠近 	 Near 	  Близко  к  чему
面板/控制板 	 Panel 	  Панель  
顶部/屋顶 	 Roof 	  Крыша  
预凿 	 Pre-sinking 	Предворительные  работы  для  проходки  
预制 	 Pre-casting 	
预制的通风填充隧道	Vent backfill drive 	СВЗШ  (Сборный  вентиляционный  закладочный  штрек)  
预埋 	 Embedded 	  Закладной  
预拼装 	 Pre-assemble 	  Предварительная  сборка
预注浆钻孔 	 Pre cover hole 	Предцементация  скважины  
预防	Prevention 	Предотвращение
频率 	Frequency  	Частота
风机	Fan (small) 	Вентилятор
风筒 	 Air duct 	  Вентиляционный  трубопровод
风道 	 Vent duct 	  Вентиляционный  канал  
风道口弯道 	 Vent duct bend  	  Сгиб  вентиляционного  канала  
风镐	Jackhammer	Отбойный  молоток  
饮水机 	 Water dispenser 	  Кулер  
首绳	Head Rope 	Головной канат
马头门 	 Station 	  Сопряжение  околоствольного  двора  с  шахтным  стволом
马头门眉 	 Station brow 	
马达	Motor	Мотор
驱动装置 	 Driving device 	  Приводное  устройство  
高压 	 High voltage  	  Высокий  вольтаж
高压灯 	 High voltage light 	  Высоковольтное  освещение  
高压球阀 	 High pressure ball valve 	  Шаровые  краны  высокого  давления
高毒物质储存 	High toxic material storage 	СДЯВ  (Сильноде́йствующие  ядови́тые  вещества́)
高温线 	 HT line 	  Высоковольтная  линия  
高空作业 	 Working at heights  	  Работы  на  высоте  
齿轮 	 Gear 	  Шестерня  
